seqnames,start,end,width,strand,num_cpg,start_ind,end_ind,pi,loglik_diff,rna_gene_name,rna_gene_start,rna_gene_end,rna_gene_strand,vmr_to_gene_dist,vmr_rna_corr,vmr_n_avail_cell,promoter_rna_corr,promoter_n_avail_cell,context
13,23773753,23781945,8193,*,52,97468,97519,0.745803645838579,54.7902098830948,Trim38,23782572,23791495,+,626,-0.277474408654903,578,-0.0624406311560807,108,VMRs overlapping with promoter
4,138633582,138642195,8614,*,57,735934,735990,0.785433339667916,54.7699492359915,Vwa5b1,138565360,138635884,-,0,-0.152493488384409,659,-0.148399056148447,529,VMRs overlapping with promoter
13,20133549,20136254,2706,*,30,77847,77876,0.617051588856364,54.7499147004504,Elmo1,20090596,20606528,+,0,0.0528723716424271,536,0.022552623334749,398,VMRs overlapping with gene body
4,123193355,123199656,6302,*,50,595255,595304,0.79932281484162,54.7168379948043,Hpcal4,123183227,123194701,+,0,-0.181747549733808,606,0.0039308614689752,564,VMRs overlapping with gene body
10,42504061,42511374,7314,*,50,210818,210867,0.76746350777191,54.6993673505946,Snx3,42502030,42535381,+,0,-0.408515113596824,542,-0.109107668876319,514,VMRs overlapping with gene body
18,57295635,57310631,14997,*,68,285065,285132,0.790555944606988,54.6821012199773,Megf10,57133090,57297467,+,0,-0.212909229103292,675,-0.100018393437066,538,VMRs overlapping with gene body
9,73546888,73557524,10637,*,58,418030,418087,0.758072951016426,54.6551121620249,Unc13c,73479422,73968966,-,0,-0.208378819469938,614,-0.162606845974254,373,VMRs overlapping with gene body
2,117323268,117332495,9228,*,69,618086,618154,0.817196048187137,54.6446843315191,Rasgrp1,117279993,117343001,-,0,-0.235513375686885,583,-0.12432507945754,577,VMRs overlapping with gene body
6,34599448,34601798,2351,*,24,157891,157914,0.632155387860461,54.642721385337,Cald1,34598500,34775473,+,0,0.213532183382409,483,0.267531191229834,355,VMRs overlapping with gene body
6,34655174,34661869,6696,*,42,158310,158351,0.771032403800446,54.6081429466526,Cald1,34598500,34775473,+,0,0.269685336384711,617,0.267531191229834,355,VMRs overlapping with gene body
15,89791661,89797048,5388,*,46,480440,480485,0.730695516824435,54.6066870087571,Syt10,89782393,89841860,-,0,-0.240483344845267,492,-0.0987375643517968,501,VMRs overlapping with gene body
1,78360996,78367161,6166,*,48,381362,381409,0.790908852199978,54.5889500338288,Sgpp2,78310345,78420289,+,0,-0.151444012884719,595,0.0662496505368549,557,VMRs overlapping with gene body
9,78617177,78621957,4781,*,40,448546,448585,0.726626442795575,54.4919770574655,Cd109,78615546,78716253,+,0,-0.217674194803559,563,-0.142414430078213,451,VMRs overlapping with gene body
3,155095406,155114516,19111,*,70,805495,805564,0.768618325500907,54.4715942354133,Lrriq3,155093434,155194280,+,0,-0.155329408375147,674,-0.0920141401333711,445,VMRs overlapping with gene body
3,105569757,105577795,8039,*,49,515489,515537,0.754191825551099,54.4481706318243,Kcnd3,105452330,105674002,+,0,-0.104496131786826,654,-0.0475030968340224,592,VMRs overlapping with gene body
6,5385908,5395135,9228,*,65,13182,13246,0.673933040797294,54.4447572750969,Asb4,5383386,5433022,+,0,-0.0834398189815215,546,0.0194255579419617,437,VMRs overlapping with gene body
1,4204954,4233139,28186,*,95,4016,4110,0.751257754752872,54.4251787559759,Rp1,3999557,4409241,-,0,-0.157228084253724,661,-0.143277544674187,207,VMRs overlapping with gene body
9,112145336,112154443,9108,*,67,652180,652246,0.814049904550802,54.3765095337823,Arpp21,112065091,112235938,-,0,-0.238369275235459,535,-0.234703090054103,292,VMRs overlapping with gene body
9,50671082,50681675,10594,*,60,260054,260113,0.784045799691035,54.3571914813387,Dixdc1,50662752,50739517,-,0,-0.0831621639028284,692,-0.0888850482906023,502,VMRs overlapping with gene body
4,24752599,24769550,16952,*,73,95861,95933,0.785600933671729,54.3234316828164,Klhl32,24612554,24851124,-,0,-0.211210940805993,669,0.0747303758224334,410,VMRs overlapping with gene body
12,74294130,74300918,6789,*,49,349106,349154,0.778561837955517,54.2797172682401,Dbpht2,74297474,74300468,+,0,-0.177613301825996,563,-0.23010656907222,341,VMRs overlapping with promoter
14,93199491,93207916,8426,*,43,462930,462972,0.705310875920479,54.2554023047104,Pcdh9,93013410,93890679,-,0,-0.228918808942561,459,0.000117103147439639,523,VMRs overlapping with gene body
4,156036634,156044710,8077,*,62,881345,881406,0.802245446223017,54.2448862483275,Ttll10,156034840,156059414,-,0,-0.214165189121808,617,-0.08896830219107,535,VMRs overlapping with gene body
5,104441505,104447736,6232,*,46,523831,523876,0.760926999463047,54.2181406145701,Spp1,104435118,104441050,+,454,-0.269084217766453,615,-0.299220209684375,403,VMRs outside gene but within 1000-bp distance
7,30030163,30035870,5708,*,47,131146,131192,0.716340458784851,54.1788701280418,Zfp14,30036359,30051380,-,488,-0.205304076257099,600,-0.126027935893156,440,VMRs outside gene but within 1000-bp distance
16,19978966,19995104,16139,*,57,92575,92631,0.752164946297387,54.1744589724449,Klhl6,19946499,19983037,-,0,-0.14873880798095,645,-0.187737426341023,238,VMRs overlapping with promoter
4,82879447,82885126,5680,*,59,372214,372272,0.811425613213287,54.0659358370807,Cer1,82881751,82885148,-,0,-0.165404730198382,615,-0.265840517164848,367,VMRs overlapping with gene body
4,6779153,6793005,13853,*,67,15812,15878,0.772694873824723,54.0458689347556,Tox,6686353,6991557,-,0,-0.147703509201362,604,0.0277652538013425,365,VMRs overlapping with gene body
8,32864011,32875116,11106,*,50,175851,175900,0.743091992709385,54.0251872040273,Nrg1,31814551,32884029,-,0,-0.182390762243002,554,0.00325053704659022,630,VMRs overlapping with gene body
19,48804671,48817433,12763,*,69,305539,305607,0.774774268759647,53.9502121167577,Sorcs3,48206025,48805505,+,0,-0.214727340029375,529,0.130350412640808,570,VMRs overlapping with gene body
2,140672440,140684001,11562,*,56,756020,756075,0.707776947387283,53.8461877641359,Flrt3,140650914,140671469,-,970,-0.161993318679505,625,-0.211113414054522,262,VMRs overlapping with promoter
16,21981102,21985152,4051,*,37,106745,106781,0.762366202845417,53.8288320829337,Liph,21953826,21995542,-,0,-0.304513495750487,564,-0.298181851333214,296,VMRs overlapping with gene body
2,166019721,166030384,10664,*,67,924060,924126,0.778768054973161,53.7621347944498,Ncoa3,165992636,166073242,+,0,-0.26299454552543,563,-0.0975654637382494,474,VMRs overlapping with gene body
5,57905990,57923150,17161,*,65,271940,272004,0.708122616207588,53.7468841642461,Pcdh7,57717967,58133230,+,0,-0.0248423458904791,503,-0.0089609736461412,610,VMRs overlapping with gene body
2,125507975,125515497,7523,*,50,668497,668546,0.778251578420612,53.7457155357836,Fbn1,125300594,125507993,-,0,-0.208078726001366,628,-0.175050013486733,332,VMRs overlapping with promoter
5,48489589,48507908,18320,*,73,228344,228416,0.78728440457725,53.7113203103698,Kcnip4,48389502,49524907,-,0,-0.242030931923476,563,-0.132310658726827,425,VMRs overlapping with gene body
4,138592367,138596583,4217,*,37,735600,735636,0.743592157458899,53.6801854649092,Vwa5b1,138565360,138635884,-,0,-0.0892064684114675,576,-0.148399056148447,529,VMRs overlapping with gene body
7,88279664,88292161,12498,*,64,447571,447634,0.746142672508985,53.6789613060238,Ctsc,88278085,88310888,+,0,-0.342843825150553,525,-0.0405923678147236,362,VMRs overlapping with gene body
2,76128996,76132598,3603,*,38,420121,420158,0.739796032125863,53.6784053535084,Pde11a,75989141,76338774,-,0,-0.179582357909641,544,-0.102209135871075,567,VMRs overlapping with gene body
18,7095262,7109153,13892,*,43,19724,19766,0.717322986482566,53.6391797444526,Armc4,7088233,7297901,-,0,-0.178706172147629,585,-0.00568088545767349,387,VMRs overlapping with gene body
11,46058431,46064374,5944,*,43,219494,219536,0.654962501550029,53.633214571554,Adam19,46055992,46147343,+,0,-0.1792544437392,622,-0.0840564497350203,535,VMRs overlapping with gene body
13,45925094,45928070,2977,*,41,234942,234982,0.756406586259965,53.5966902533176,Atxn1,45549758,45964991,-,0,-0.20871476918645,448,-0.0115477765800097,579,VMRs overlapping with gene body
5,48733168,48751369,18202,*,63,229299,229361,0.702800670374377,53.5783484458814,Kcnip4,48389502,49524907,-,0,-0.221219266923039,573,-0.132310658726827,425,VMRs overlapping with gene body
2,137106228,137112793,6566,*,53,740712,740764,0.789809170187881,53.5449573155438,Jag1,137081456,137116644,-,0,0.190986079893323,556,0.0477830343727728,570,VMRs overlapping with gene body
7,57355691,57367846,12156,*,51,280806,280856,0.774432918264604,53.5237042069029,Gabrg3,56716465,57387188,-,0,-0.242432680265116,634,-0.0834231344169896,389,VMRs overlapping with gene body
4,82924044,82931031,6988,*,56,372597,372652,0.801236777452387,53.4765938446162,Frem1,82897920,83052339,-,0,-0.201884294496686,594,-0.0284419677036962,402,VMRs overlapping with gene body
11,46660521,46671014,10494,*,50,224044,224093,0.739218081281802,53.4477589058893,Timd2,46668960,46707061,-,0,-0.281062070602004,578,-0.384001223960205,343,VMRs overlapping with gene body
15,37665123,37671102,5980,*,48,175963,176010,0.759911673022204,53.4356734538718,Ncald,37366175,37792570,-,0,-0.259786081843742,525,-0.0458406845269409,336,VMRs overlapping with gene body
11,89441105,89446157,5053,*,52,527865,527916,0.796795952114773,53.40913639184,4932411E22Rik,89390223,89777653,-,0,-0.194845543210196,536,-0.214224624137176,347,VMRs overlapping with gene body
15,6373041,6377354,4314,*,42,15369,15410,0.746759548358071,53.3699409405491,Dab2,6299788,6440712,+,0,-0.343671338931978,543,-0.169036395342977,326,VMRs overlapping with gene body
1,55089866,55102278,12413,*,62,247870,247931,0.794816748241878,53.3383202873152,Hspe1,55088132,55091307,+,0,0.169623434350981,614,0.0699390121102853,600,VMRs overlapping with gene body
3,88761691,88762520,830,*,25,410341,410365,0.725143600502261,53.3127082369945,Syt11,88744700,88775164,-,0,0.173876462584654,502,-0.00261499022252966,411,VMRs overlapping with gene body
10,68753504,68761471,7968,*,61,353968,354028,0.755157167802231,53.3099504674004,Tmem26,68723746,68782654,+,0,-0.177299072252856,517,-0.0514573168643812,326,VMRs overlapping with gene body
10,26256748,26269538,12791,*,62,135792,135853,0.781031869382336,53.2962076386617,Samd3,26229707,26272172,+,0,-0.0445173701270825,566,-0.199509603830268,89,VMRs overlapping with gene body
3,33817423,33831417,13995,*,70,135242,135311,0.760426818764103,53.2681659067863,Ccdc39,33812362,33844310,-,0,-0.0596857594163125,581,-0.0565303181753079,395,VMRs overlapping with gene body
15,37451995,37459185,7191,*,60,174575,174634,0.790935082365476,53.2456552755113,Ncald,37366175,37792570,-,0,-0.111374693433051,565,-0.0458406845269409,336,VMRs overlapping with gene body
10,23183537,23191752,8216,*,57,116260,116316,0.807317492449486,53.220067865408,Eya4,23104168,23349895,-,0,-0.247494283900387,573,-0.0163063358381174,487,VMRs overlapping with gene body
11,61048911,61052712,3802,*,30,319476,319505,0.696731876824353,53.2060523852993,Kcnj12,61022564,61071131,+,0,-0.132324494968049,510,-0.102550233754635,535,VMRs overlapping with gene body
13,114897692,114909840,12149,*,65,652227,652291,0.769459998058571,53.1694714924886,Itga2,114835916,114932041,-,0,-0.201200551668005,564,-0.045393269142313,557,VMRs overlapping with gene body
8,32071817,32083391,11575,*,68,172337,172404,0.795559473983282,53.1298934059563,Nrg1,31814551,32884029,-,0,-0.26525507186022,619,0.00325053704659022,630,VMRs overlapping with gene body
14,93535162,93556149,20988,*,85,464351,464435,0.752926084428042,53.0695991243313,Pcdh9,93013410,93890679,-,0,-0.257247231473164,541,0.000117103147439639,523,VMRs overlapping with gene body
12,30365326,30371934,6609,*,49,133224,133272,0.752219068882241,53.0557950364432,Sntg2,30174482,30373375,-,0,-0.201178745214418,553,-0.0868443346013519,331,VMRs overlapping with gene body
5,87517401,87538484,21084,*,70,421719,421788,0.769097180611963,53.0225103710113,Sult1b1,87513339,87538195,-,0,-0.237906369001025,679,-0.160636345556754,120,VMRs overlapping with promoter
10,78035827,78040415,4589,*,34,418973,419006,0.745712089980268,52.9718913015796,Aire,78030022,78043610,-,0,-0.411331530082812,622,-0.0867874641178572,461,VMRs overlapping with promoter
6,40097163,40105991,8829,*,55,192304,192358,0.773607946753869,52.9462166848896,Tmem178b,39873271,40255150,+,0,-0.153798571838844,574,0.0142199322195755,694,VMRs overlapping with gene body
17,35130175,35133841,3667,*,39,214131,214169,0.766639931694346,52.9247079331152,Apom,35128997,35132050,-,0,-0.409049806892456,531,-0.384723884356202,285,VMRs overlapping with promoter
5,39731859,39755592,23734,*,66,191206,191271,0.711554314761549,52.8903581793543,Hs3st1,39613935,39755475,-,0,-0.286395910132108,617,-0.352832204035352,307,VMRs overlapping with promoter
16,45856483,45870972,14490,*,58,254138,254195,0.752214394744549,52.8894579191153,Phldb2,45746243,45953598,-,0,0.0893821173151721,568,-0.0628710810985078,155,VMRs overlapping with gene body
5,13539627,13565963,26337,*,114,43670,43783,0.768899941988654,52.859703267089,Sema3a,13125414,13602565,+,0,-0.200608706976544,665,-0.234457358390891,305,VMRs overlapping with gene body
4,35711084,35730136,19053,*,80,147387,147466,0.787410508965177,52.7390778228374,Lingo2,35706647,36951747,-,0,-0.235778242422637,613,-0.0106806091622996,572,VMRs overlapping with gene body
10,92870600,92880467,9868,*,65,525081,525145,0.782518063215944,52.7068678182615,Cfap54,92775619,93081618,-,0,-0.222216689544597,571,-0.153401490708432,405,VMRs overlapping with gene body
9,73879778,73898870,19093,*,71,419511,419581,0.791306063495917,52.6638696649178,Unc13c,73479422,73968966,-,0,-0.255108613323606,646,-0.162606845974254,373,VMRs overlapping with gene body
11,55420890,55426481,5592,*,43,280321,280363,0.718320492861995,52.6574696093472,Sparc,55394500,55423183,-,0,-0.269195175676404,630,-0.228314909924352,469,VMRs overlapping with promoter
10,100035577,100042668,7092,*,64,575154,575217,0.772162508394435,52.6470448123799,Kitl,100015630,100100413,+,0,-0.194624448642134,648,-0.0556123613938531,359,VMRs overlapping with gene body
14,35248226,35264582,16357,*,58,160550,160607,0.763737449307446,52.62778033826,Grid1,34819825,35583379,+,0,-0.208510158857052,644,0.0636662345814121,645,VMRs overlapping with gene body
5,49202583,49221795,19213,*,66,230834,230899,0.751670802012546,52.6175211776462,Kcnip4,48389502,49524907,-,0,-0.236471619331361,547,-0.132310658726827,425,VMRs overlapping with gene body
14,41104961,41120951,15991,*,62,181600,181661,0.766895655751031,52.5859065590082,Mat1a,41105381,41124412,+,0,-0.209080361845833,671,-0.154270217510738,334,VMRs overlapping with promoter
10,24676863,24680859,3997,*,41,125538,125578,0.730727808444951,52.5549211538691,Enpp1,24637914,24712159,-,0,-0.241258417922653,446,-0.111867149552207,496,VMRs overlapping with gene body
14,63226261,63232122,5862,*,52,305027,305078,0.773279377732366,52.4354060894127,Gata4,63198922,63271692,-,0,-0.176339993122209,529,-0.0791012233154591,406,VMRs overlapping with gene body
4,64038748,64045217,6470,*,44,304242,304285,0.770081754841981,52.4261533293063,Tnc,63959785,64047015,-,0,-0.218766075677303,578,-0.112364929295646,338,VMRs overlapping with gene body
15,28415849,28436627,20779,*,74,126925,126998,0.773304263176882,52.3699154579818,Dnah5,28203752,28472045,+,0,-0.120667242222879,657,-0.11972295240491,396,VMRs overlapping with gene body
1,8462150,8478290,16141,*,62,20540,20601,0.694681477586005,52.3631404210381,Sntg1,8361475,9299878,-,0,-0.156128838919093,657,-0.0266493297389423,476,VMRs overlapping with gene body
5,72439023,72445279,6257,*,46,342977,343022,0.76110743853567,52.3452779674948,Corin,72300025,72504473,-,0,-0.209002932022824,658,-0.139303148812077,444,VMRs overlapping with gene body
8,128451933,128465195,13263,*,55,775061,775115,0.767399703431323,52.3348032406842,Nrp1,128358604,128503363,+,0,-0.185487021310883,622,0.0100840850863921,606,VMRs overlapping with gene body
15,9629682,9641287,11606,*,58,36997,37054,0.77082380484539,52.3339834493549,Spef2,9578193,9748868,-,0,-0.211536732500907,548,-0.0739935940347659,184,VMRs overlapping with gene body
13,114917947,114928277,10331,*,56,652350,652405,0.77674506616763,52.2208151115883,Itga2,114835916,114932041,-,0,-0.152594455529933,692,-0.045393269142313,557,VMRs overlapping with gene body
14,75140026,75151233,11208,*,56,379301,379356,0.767507413355708,52.170025051166,Lcp1,75131101,75230842,+,0,-0.342387722709295,606,-0.0380518293537214,388,VMRs overlapping with gene body
5,135306522,135316995,10474,*,57,780485,780541,0.810151959283787,52.1189302969403,Fkbp6,135291704,135350044,-,0,-0.245300514099268,657,-0.258910092966383,466,VMRs overlapping with gene body
1,131590444,131599615,9172,*,66,625482,625547,0.747110247311123,52.1114616909824,Avpr1b,131599239,131612000,+,0,-0.1720223260422,651,-0.0833188220091982,420,VMRs overlapping with promoter
6,34627556,34634468,6913,*,51,158112,158162,0.791333107399879,52.1089832918837,Cald1,34598500,34775473,+,0,0.239262385650367,617,0.267531191229834,355,VMRs overlapping with gene body
5,48675689,48696357,20669,*,84,229097,229180,0.81031903202229,52.0753055399418,Kcnip4,48389502,49524907,-,0,-0.226490374412103,664,-0.132310658726827,425,VMRs overlapping with gene body
7,57372290,57383433,11144,*,50,280857,280906,0.724893292437544,51.9954331007537,Gabrg3,56716465,57387188,-,0,-0.215766796439464,620,-0.0834231344169896,389,VMRs overlapping with gene body
1,160498101,160515237,17137,*,63,786135,786197,0.779262208527912,51.9369656743215,Rabgap1l,160219174,160793211,-,0,-0.182248785264284,596,-0.133536117711215,268,VMRs overlapping with gene body
9,112053846,112064518,10673,*,65,651571,651635,0.792157986536255,51.8623116393088,Arpp21,112065091,112235938,-,572,-0.198132360465448,562,-0.234703090054103,292,VMRs outside gene but within 1000-bp distance
5,104103352,104107904,4553,*,37,521369,521405,0.658862499534165,51.8180182284627,Sparcl1,104079111,104113733,-,0,-0.27036774119207,513,-0.260695383006371,508,VMRs overlapping with gene body
6,35288323,35294602,6280,*,40,163009,163048,0.772739027908897,51.7805007191065,Slc13a4,35267957,35308131,-,0,-0.113632940816185,612,-0.243337897386151,445,VMRs overlapping with gene body
13,100158027,100168757,10731,*,53,555488,555540,0.773167623171369,51.7795332816095,Naip2,100144063,100202092,-,0,-0.267160653124507,631,-0.156861138686922,153,VMRs overlapping with gene body
5,73654228,73659332,5105,*,39,353987,354025,0.770778707337655,51.7745508806229,Spata18,73651379,73679512,+,0,-0.223472950330232,539,0.00786578899985509,613,VMRs overlapping with gene body
11,89562595,89571658,9064,*,60,528804,528863,0.795565825329479,51.7657395400623,4932411E22Rik,89390223,89777653,-,0,-0.286974700906922,636,-0.214224624137176,347,VMRs overlapping with gene body
13,56546789,56552096,5308,*,47,319384,319430,0.795666056532149,51.7349289619057,Lect2,56542460,56548538,-,0,-0.329023800227836,590,-0.32061092847113,404,VMRs overlapping with promoter
2,122271214,122278462,7249,*,50,652083,652132,0.782185276386122,51.6911734638462,Duox2,122279247,122298165,-,784,-0.22049767876306,580,0.0222973527245574,545,VMRs outside gene but within 1000-bp distance
10,10527141,10546232,19092,*,79,43658,43736,0.806683364270855,51.6849099102395,Rab32,10545011,10558233,-,0,-0.248403520737814,697,-0.0694617297204102,302,VMRs overlapping with gene body
1,171951730,171963339,11610,*,60,861041,861100,0.804427454621445,51.6382504174778,Slamf6,171917515,171953170,+,0,-0.264966900706892,688,-0.281687298487593,418,VMRs overlapping with gene body
6,58963787,58978065,14279,*,69,291827,291895,0.795368669509484,51.6304812877242,Fam13a,58932090,59024549,-,0,-0.218133511216275,631,-0.0956184956965753,229,VMRs overlapping with gene body
5,12385868,12402132,16265,*,59,39411,39469,0.727970216877237,51.5682134537919,Sema3d,12383385,12588948,+,0,-0.190163808570365,448,-0.0554050374151366,386,VMRs overlapping with gene body
1,178780919,178792819,11901,*,59,898466,898524,0.785719094330876,51.5447359337309,Kif26b,178529125,178939200,+,0,-0.180816655498034,604,-0.104012085175423,637,VMRs overlapping with gene body
8,79957645,79970640,12996,*,50,422662,422711,0.715233303038752,51.4987802072809,Hhip,79965851,80058006,-,0,-0.230443235612164,597,0.0161209847995016,484,VMRs overlapping with gene body
12,30171046,30182165,11120,*,58,132112,132169,0.782930874324422,51.4138707503973,Sntg2,30174482,30373375,-,0,-0.167471323973938,598,-0.0868443346013519,331,VMRs overlapping with gene body
7,18717626,18733105,15480,*,55,63792,63846,0.781596118228228,51.4021044054011,Psg22,18718090,18727248,+,0,-0.205036051329832,702,-0.186933992616526,389,VMRs overlapping with promoter
6,94668149,94670238,2090,*,28,471063,471090,0.69959673707886,51.3234360531902,Lrig1,94604529,94700158,-,0,-0.169300155283424,372,-0.0661154531280554,479,VMRs overlapping with gene body
8,32878019,32882127,4109,*,35,175923,175957,0.724156412891792,51.3052381618739,Nrg1,31814551,32884029,-,0,-0.210886375518317,447,0.00325053704659022,630,VMRs overlapping with gene body
19,48313989,48321973,7985,*,60,302641,302700,0.805140913459394,51.2863818190867,Sorcs3,48206025,48805505,+,0,-0.228432239281349,555,0.130350412640808,570,VMRs overlapping with gene body
10,57807935,57816842,8908,*,46,278541,278586,0.734989303310044,51.196834195087,Smpdl3a,57794335,57811830,+,0,-0.211836231444925,532,-0.136499727924169,193,VMRs overlapping with gene body
3,104656808,104665470,8663,*,54,509322,509375,0.772976873243478,51.1660728488365,Slc16a1,104638668,104658462,+,0,-0.195766106163164,613,-0.170403018842838,563,VMRs overlapping with gene body
1,164152941,164157731,4791,*,32,807242,807273,0.690364982140592,51.1279452241382,F5,164151838,164220277,+,0,-0.379382126087536,357,-0.130369056902496,329,VMRs overlapping with gene body
6,128878472,128894972,16501,*,80,675935,676014,0.812596354296178,51.0984362714525,Clec2i,128887588,128898167,+,0,-0.267965987442472,678,-0.224955399290727,198,VMRs overlapping with promoter
5,48557343,48567267,9925,*,54,228633,228686,0.760127998752439,51.0530703579521,Kcnip4,48389502,49524907,-,0,-0.229026996292873,516,-0.132310658726827,425,VMRs overlapping with gene body
2,58317730,58323523,5794,*,45,304041,304085,0.778261275096602,51.0496264017153,Acvr1c,58267453,58357895,-,0,-0.199934439194447,485,0.0427732667049129,497,VMRs overlapping with gene body
7,96633806,96642798,8993,*,55,483031,483085,0.79916746108987,51.0459982146695,Tenm4,96171246,96911093,+,0,0.0689065611118722,578,0.070098534834305,341,VMRs overlapping with gene body
17,55893617,55906319,12703,*,51,335466,335516,0.674739285811512,51.0439471406614,Zfp959,55892120,55898928,+,0,-0.0287408591735438,566,0.0563240350815728,516,VMRs overlapping with gene body
6,25670272,25676613,6342,*,40,104604,104643,0.740213954653556,51.0173096865235,Gpr37,25665878,25690729,-,0,-0.236217482995481,479,-0.184802256945314,92,VMRs overlapping with gene body
6,38425947,38432220,6274,*,39,180762,180800,0.757293574036287,50.9806354560678,Ttc26,38381469,38427647,+,0,-0.0225643050436471,546,-0.0355731043146981,290,VMRs overlapping with gene body
2,85137732,85149007,11276,*,53,468895,468947,0.701906504830217,50.931863894813,Aplnr,85136225,85139923,+,0,-0.0222937683093169,644,-0.0358374705522715,201,VMRs overlapping with gene body
3,145812162,145814873,2712,*,28,742167,742194,0.721730591975163,50.9121024309511,Ddah1,145758675,145894277,+,0,-0.160322123332153,449,-0.124966858394836,536,VMRs overlapping with gene body
13,38154180,38160625,6446,*,46,175794,175839,0.764357731447275,50.9107989265721,Dsp,38151328,38198577,+,0,-0.0168178376411099,616,-0.0271401558286056,547,VMRs overlapping with gene body
14,28519919,28527879,7961,*,61,113200,113260,0.663741178816607,50.8681616085876,Wnt5a,28504750,28527447,+,0,0.064678478251109,630,0.0257941508273038,477,VMRs overlapping with gene body
5,49236055,49248524,12470,*,63,230961,231023,0.771982674872649,50.860490900558,Kcnip4,48389502,49524907,-,0,-0.239831978956648,528,-0.132310658726827,425,VMRs overlapping with gene body
6,125830717,125844781,14065,*,72,652470,652541,0.807162626024402,50.8431288246026,Ano2,125690419,126040126,+,0,-0.217491371406253,638,-0.156742892552837,408,VMRs overlapping with gene body
2,169914201,169916284,2084,*,27,964457,964483,0.596049937809678,50.8336014791559,Tshz2,169633013,170071816,+,0,-0.21504937108596,384,-0.0426836058750316,497,VMRs overlapping with gene body
10,14532943,14543745,10803,*,74,66986,67059,0.788228635294079,50.7980209809808,Adgrg6,14402583,14545179,-,0,-0.250134854886508,570,0.00816359701035548,587,VMRs overlapping with gene body
18,37696368,37706284,9917,*,56,174205,174260,0.493414523696494,50.7732255243557,Pcdhga2,37668953,37841870,+,0,-0.16708370627284,577,-0.300921793813927,308,VMRs overlapping with gene body
2,19261504,19270147,8644,*,51,87926,87976,0.747633740218036,50.7042054287508,Armc3,19199302,19310241,+,0,-0.152400935214416,617,-0.100496997331824,519,VMRs overlapping with gene body
1,8977024,8996390,19367,*,57,22221,22277,0.762867790748363,50.6586897484156,Sntg1,8361475,9299878,-,0,-0.240297073974565,616,-0.0266493297389423,476,VMRs overlapping with gene body
7,99860256,99865153,4898,*,39,506393,506431,0.751497067420807,50.6418261247199,Xrra1,99859116,99917822,+,0,-0.194636113471286,564,-0.064917483665856,544,VMRs overlapping with gene body
3,69328270,69334308,6039,*,56,315183,315238,0.751790437823245,50.5771735774948,Ppm1l,69316861,69560802,+,0,-0.120622083428639,520,0.0647254591354704,559,VMRs overlapping with gene body
12,81284894,81292579,7686,*,44,395055,395098,0.762637905854755,50.5413991410904,Slc8a3,81197915,81333180,-,0,-0.1806950095634,547,-0.0595557424810634,482,VMRs overlapping with gene body
16,26679887,26693986,14100,*,65,135627,135691,0.762325663914479,50.4909320307929,Il1rap,26581704,26730117,+,0,-0.213362256853509,523,0.0235239614654652,549,VMRs overlapping with gene body
2,60873680,60879185,5506,*,49,323588,323636,0.730202374056384,50.4812775738817,Rbms1,60750193,60963192,-,0,-0.0194021238082589,465,0.00691425042318253,390,VMRs overlapping with gene body
3,93563181,93578262,15082,*,64,435898,435961,0.776660758785189,50.4679984635394,S100a10,93555080,93564643,+,0,-0.283170853579213,695,-0.160820649224347,429,VMRs overlapping with gene body
1,45895879,45908267,12389,*,54,209248,209301,0.740744021271608,50.4402892647626,Slc40a1,45908068,45926523,-,0,-0.245154745998215,556,-0.0883181817931069,384,VMRs overlapping with gene body
19,10676140,10679734,3595,*,36,56403,56438,0.739498181548303,50.43979247383,Pga5,10668957,10678071,-,0,-0.464720104377755,533,-0.394881836452794,263,VMRs overlapping with promoter
14,63233651,63239197,5547,*,44,305100,305143,0.77579115466574,50.4219026957219,Gata4,63198922,63271692,-,0,-0.27141496232659,521,-0.0791012233154591,406,VMRs overlapping with gene body
3,105631706,105642750,11045,*,56,515902,515957,0.791922884199771,50.4033511877185,Kcnd3,105452330,105674002,+,0,-0.149013106443094,610,-0.0475030968340224,592,VMRs overlapping with gene body
5,33197911,33202573,4663,*,38,146385,146422,0.769158664982852,50.3968569032479,Spon2,33198184,33218455,-,0,-0.207648928879287,547,-0.187512913906465,478,VMRs overlapping with gene body
7,100507242,100513465,6224,*,43,511188,511230,0.753111013069076,50.3265340368484,Dnajb13,100501716,100514960,-,0,-0.187686827646644,663,-0.174058097625837,323,VMRs overlapping with gene body
1,13677976,13690445,12470,*,61,44634,44694,0.803791514938263,50.2300778509561,Xkr9,13668771,13701723,+,0,-0.186750372732722,653,-0.190396720067827,374,VMRs overlapping with gene body
2,120257640,120265623,7984,*,48,638593,638640,0.785479170841358,50.2288175050126,Pla2g4d,120265595,120289197,-,0,-0.167863917357521,644,-0.214285874919863,477,VMRs overlapping with gene body
14,33520901,33528695,7795,*,51,148900,148950,0.764659993187208,50.1913501820755,Frmpd2,33471696,33575269,+,0,-0.141977248663979,577,0.00125751541521709,214,VMRs overlapping with gene body
10,29494977,29510276,15300,*,66,150363,150428,0.789061582160605,50.1785710626427,Rspo3,29452416,29535867,-,0,0.0841026427264919,593,-0.000787441986373559,364,VMRs overlapping with gene body
5,39636424,39642329,5906,*,44,190732,190775,0.728592597523014,50.0972055293028,Hs3st1,39613935,39755475,-,0,-0.321975447791503,511,-0.352832204035352,307,VMRs overlapping with gene body
